iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
0,0,2.0690413316090903,2.330560652414957,0.22999999920527142,0.33333333780368174,0.7246666729450225
10.0,0,1.7837760408719385,2.3312180519104007,0.3690000027418137,0.3476666674017906,0.7246666729450225
20.0,0,1.5506669799486796,2.4573314269383744,0.44933332900206246,0.35766666779915496,0.7246666729450225
30.0,0,1.3428244392077129,2.5284557739893594,0.5206666658322017,0.3566666647791862,0.7246666729450225
40.0,0,1.1644452234109244,2.7147180954615275,0.6086666663487751,0.36899999777475995,0.7246666729450225
50.0,0,1.0164298256238302,2.790797773996989,0.6563333332538606,0.36900000274181366,0.7246666729450225
60.0,0,0.9159148156642912,2.9956229686737066,0.6993333339691163,0.37866666515668235,0.7246666729450225
70.0,0,0.841745944817861,3.026910384496053,0.6910000046094259,0.3806666652361551,0.7246666729450225
80.0,0,0.7554504394531252,3.1774617513020833,0.7173333326975502,0.3833333313465119,0.7246666729450225
90.0,0,0.7038803438345591,3.362598776817322,0.7403333365917206,0.3836666653553643,0.7246666729450225
100.0,0,0.6566430826981862,3.299438937505086,0.762333333492279,0.38966666658719395,0.7246666729450225
110.0,0,0.6246914158264795,3.354544305801391,0.7636666615804036,0.3916666607062022,0.7246666729450225
120.0,0,0.5848078141609828,3.5788524071375543,0.7773333350817362,0.3896666665871938,0.7246666729450225
130.0,0,0.5729461610317231,3.5281621535619103,0.7819999953111012,0.3996666649977367,0.7246666729450225
140.0,0,0.54635315934817,3.662815340360006,0.7889999945958456,0.3993333319822948,0.7246666729450225
150.0,0,0.5145270884037018,3.5707867463429768,0.7913333356380463,0.39433333277702337,0.7246666729450225
160.0,0,0.5065385808547338,3.6913083632787065,0.7956666668256123,0.3973333309094111,0.7246666729450225
170.0,0,0.48684123158454895,3.59819659392039,0.7990000009536743,0.3979999979337056,0.7246666729450225
180.0,0,0.45856058299541463,3.4816709756851196,0.8193333307902018,0.40433333118756604,0.7246666729450225
190.0,0,0.4534950117270151,3.614058677355449,0.8140000025431315,0.4079999963442484,0.7246666729450225
200.0,0,0.4377588848272959,3.6542891025543205,0.8213333328564963,0.40466666519641864,0.7246666729450225
210.0,0,0.4290469467639923,3.5361811002095536,0.8253333330154419,0.4043333331743876,0.7246666729450225
220.0,0,0.4236620217561722,3.6584198951721185,0.8243333379427593,0.40933333237965913,0.7246666729450225
230.0,0,0.41319856047630293,3.5263804992039995,0.8296666622161866,0.4143333305915196,0.7246666729450225
240.0,0,0.39908442844947184,3.5052112181981396,0.834666669368744,0.4129999995231628,0.7246666729450225
250.0,0,0.3982252791523933,3.646198765436808,0.8330000023047132,0.4136666645606358,0.7246666729450225
260.0,0,0.39950688183307653,3.6673219203948983,0.828333334128062,0.4129999995231628,0.7246666729450225
270.0,0,0.39653066347042726,3.659318582216899,0.833333331346512,0.408999999364217,0.7246666729450225
280.0,0,0.3721993083755177,3.5336941480636592,0.8433333337306979,0.41799999574820196,0.7246666729450225
290.0,0,0.364705178141594,3.578048284848531,0.8423333386580151,0.41899999976158137,0.7246666729450225
300.0,0,0.3645583599805832,3.6458730618158968,0.8406666696071624,0.4189999977747599,0.7246666729450225
310.0,0,0.36343928277492515,3.7776657740275073,0.8406666656335194,0.40999999543031057,0.7246666729450225
320.0,0,0.3563813596963883,3.5756044149398796,0.8473333319028218,0.42066666483879084,0.7246666729450225
330.0,0,0.3486185039083163,3.713079086939494,0.8479999979337056,0.41866666277249653,0.7246666729450225
340.0,0,0.34484967092672986,3.658901087443034,0.84699999888738,0.4139999985694885,0.7246666729450225
350.0,0,0.34134551088015236,3.6744637012481682,0.8479999979337056,0.4189999987681707,0.7246666729450225
360.0,0,0.332895996173223,3.4962536970774334,0.854333331187566,0.4259999970595042,0.7246666729450225
370.0,0,0.3385117520888647,3.634765863418579,0.8483333329359691,0.414999998609225,0.7246666729450225
380.0,0,0.32850159804026285,3.641827861467997,0.8546666661898297,0.4219999969005584,0.7246666729450225
390.0,0,0.32406560132900875,3.4957293828328453,0.8556666652361552,0.4229999979337056,0.7246666729450225
iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
0,0,2.0848316987355546,2.341784159342448,0.23099999775489174,0.3330000008145969,0.7246666729450225
10.0,0,1.8126824100812275,2.2717303355534875,0.3456666658322016,0.3396666680773099,0.7246666729450225
20.0,0,1.5760855277379353,2.323923810323079,0.46699999570846557,0.35566666871309277,0.7246666729450225
30.0,0,1.3768683632214862,2.3392200867335005,0.5299999992052714,0.361999998986721,0.7246666729450225
40.0,0,1.1992108623186748,2.5825155178705854,0.5909999936819076,0.3709999998410543,0.7246666729450225
50.0,0,1.0632016082604725,2.727611517906189,0.6306666692097982,0.37766666710376734,0.7246666729450225
60.0,0,0.945981095234553,2.699507451057434,0.6680000046888989,0.3823333332935968,0.7246666729450225
70.0,0,0.8948761244614919,2.6703715721766152,0.6463333328564963,0.4030000001192092,0.7246666729450225
80.0,0,0.7947998682657879,2.978731211026509,0.7116666674613953,0.38933333357175187,0.7246666729450225
90.0,0,0.73262416323026,2.9319964567820227,0.7300000011920927,0.39433333079020183,0.7246666729450225
100.0,0,0.6937050690253573,2.8680692990620935,0.7456666707992552,0.3979999989271164,0.7246666729450225
110.0,0,0.6457479268312453,2.882352511088053,0.755999998251597,0.4113333344459535,0.7246666729450225
120.0,0,0.633802659312884,3.0318304379781087,0.7253333369890849,0.4073333332935969,0.7246666729450225
130.0,0,0.5695980836947758,2.8414590040842693,0.777666664123535,0.4219999998807908,0.7246666729450225
140.0,0,0.5500673413276671,3.0088395913441977,0.7786666631698608,0.4179999977350235,0.7246666729450225
150.0,0,0.5286360929409664,2.7871249357859296,0.7886666615804037,0.4329999963442484,0.7246666729450225
160.0,0,0.5047361552715302,2.8889275709788005,0.8003333310286204,0.4299999992052714,0.7246666729450225
170.0,0,0.4864776899417242,2.7861195087432864,0.8016666690508524,0.43833333253860474,0.7246666729450225
180.0,0,0.46209794282913214,3.0703448534011843,0.8199999968210855,0.4293333301941554,0.7246666729450225
190.0,0,0.45093530714511876,2.8431435823440556,0.8116666615009306,0.4469999959071478,0.7246666729450225
200.0,0,0.45432594517866776,2.845691339174907,0.8023333231608072,0.44499999880790714,0.7246666729450225
210.0,0,0.42746703674395886,3.0162527481714885,0.8220000008742014,0.44766666690508516,0.7246666729450225
220.0,0,0.4135656048854192,2.738308652242024,0.8313333312670389,0.4576666613419851,0.7246666729450225
230.0,0,0.40039168993631996,2.9046767632166546,0.8296666622161867,0.45133333206176746,0.7246666729450225
240.0,0,0.3940678392847379,3.067709167798361,0.832666665315628,0.4459999978542328,0.7246666729450225
250.0,0,0.38403276652097706,2.7687375386555995,0.8339999973773957,0.4683333327372869,0.7246666729450225
260.0,0,0.3772187391916911,2.7000691334406532,0.8433333377043406,0.46933333079020184,0.7246666729450225
270.0,0,0.37126702467600503,2.785190963745117,0.8446666697661084,0.46233333448568975,0.7246666729450225
280.0,0,0.3689899136622746,2.751843166351319,0.8383333365122478,0.46266666750113167,0.7246666729450225
290.0,0,0.35527446319659545,2.792462158203125,0.841999993721644,0.47899999618530276,0.7246666729450225
300.0,0,0.36227868447701134,2.875722789764404,0.8366666674613952,0.47999999523162845,0.7246666729450225
310.0,0,0.3449769268433253,2.8573478301366175,0.8479999999205272,0.4803333322207133,0.7246666729450225
320.0,0,0.3550840978821119,3.0448285341262817,0.838999996582667,0.467999995748202,0.7246666729450225
330.0,0,0.337048032383124,2.9531878630320234,0.8533333361148835,0.4676666647195817,0.7246666729450225
340.0,0,0.3294754773378373,2.8762941439946483,0.8546666681766509,0.4806666652361552,0.7246666729450225
350.0,0,0.33112688014904645,2.6671470483144124,0.8553333381811778,0.48666666646798457,0.7246666729450225
360.0,0,0.3225756138563157,2.7588663021723425,0.8600000023841858,0.4789999941984813,0.7246666729450225
370.0,0,0.32056296418110514,2.811073509852091,0.8573333342870075,0.48499999642372127,0.7246666729450225
380.0,0,0.3207202583551406,2.732796510060628,0.8586666663487752,0.48699999650319414,0.7246666729450225
390.0,0,0.3181253830591837,2.824350984891255,0.8579999983310699,0.4836666623751322,0.7246666729450225
400.0,0,0.3071569353342055,2.971444320678711,0.862333337465922,0.4796666622161865,0.7246666729450225
410.0,0,0.3165193532903989,2.9154277880986523,0.8569999992847442,0.48066666424274446,0.7246666729450225
420.0,0,0.31259373724460604,2.6050676027933757,0.8606666684150696,0.49966666698455814,0.7246666729450225
430.0,0,0.2980687297880651,2.7692430973052984,0.8686666667461396,0.49066666165987644,0.7246666729450225
440.0,0,0.3007646411657333,2.8537610054016116,0.8639999985694886,0.4896666646003724,0.7246666729450225
450.0,0,0.2964990268150965,2.9646860043207797,0.8639999985694887,0.49033332467079166,0.7246666729450225
460.0,0,0.2939215019345284,2.939570720990499,0.865666667620341,0.4913333326578141,0.7246666729450225
470.0,0,0.2926119086643061,2.8495582183202113,0.8706666628519696,0.4889999955892564,0.7246666729450225
480.0,0,0.2976606627305349,2.709843349456787,0.8656666696071625,0.5113333314657212,0.7246666729450225
490.0,0,0.2880713202059269,2.7227214336395265,0.8686666687329611,0.5003333320220312,0.7246666729450225
500.0,0,0.2861458073059718,2.8229729175567626,0.8699999968210858,0.49700000186761234,0.7246666729450225
510.0,0,0.28090426151951153,2.8042637904485073,0.8693333347638448,0.4946666638056437,0.7246666729450225
520.0,0,0.2823521643877029,2.78436811765035,0.8683333337306978,0.4986666639645895,0.7246666729450225
530.0,0,0.2801221638917923,2.7863147258758545,0.8723333358764649,0.5063333312670389,0.7246666729450225
540.0,0,0.2777890312174956,2.8265349308649705,0.8736666639645894,0.4979999939600627,0.7246666729450225
550.0,0,0.27978707576791445,2.6716755509376524,0.874666666984558,0.5046666632095974,0.7246666729450225
560.0,0,0.2725540009637674,2.7126901507377625,0.8740000009536741,0.5113333314657211,0.7246666729450225
570.0,0,0.27456986109415693,2.8570143222808837,0.8719999988873801,0.5136666655540466,0.7246666729450225
580.0,0,0.2709293661018213,2.8336415211359673,0.8723333319028218,0.5019999990860622,0.7246666729450225
590.0,0,0.275538449982802,2.797017280260722,0.8673333346843721,0.49599999586741134,0.7246666729450225
iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
0,2,1.9739384253819787,2.490149823824565,0.3153333341081937,0.15899999961256983
10.0,2,1.6485942284266153,2.5150550683339437,0.4873333285252253,0.17133333384990695
20.0,2,1.3875213344891868,2.6616846005121864,0.592333326737086,0.19000000059604644
30.0,2,1.1740264693895976,2.8571270227432253,0.6539999981721243,0.17766666834553088
40.0,2,1.0047489444414774,3.0010244607925416,0.6866666674613952,0.19599999984105426
50.0,2,0.8478650967280069,3.117333825429281,0.743666664759318,0.15233333458503084
60.0,2,0.747543579339981,3.382922546068828,0.7553333361943564,0.16266666650772094
70.0,2,0.6595700562000275,3.4678218126297002,0.7830000023047129,0.14900000045696893
80.0,2,0.597462726632754,3.7081160942713423,0.803333330154419,0.13833333303531012
90.0,2,0.5492251932621002,3.81761920452118,0.8113333324591318,0.12133333298067252
100.0,2,0.5133512149254481,3.933056060473125,0.8029999911785124,0.15033333326379458
110.0,2,0.4938127328952154,4.1170501152674355,0.815333330631256,0.13633333345254262
120.0,2,0.4416703542073568,4.211468052864075,0.8303333322207134,0.13166666701436044
130.0,2,0.42667356083790464,4.365470894177755,0.8353333314259845,0.14366666674613954
140.0,2,0.39512988030910484,4.376224454243978,0.8446666657924654,0.12566666714847088
150.0,2,0.38426178296407065,4.4785606543223055,0.8459999998410545,0.12166666636864344
160.0,2,0.3708713059624036,4.67330010732015,0.8473333259423574,0.14633333384990693
170.0,2,0.37332636912663775,4.718610509236653,0.838666663567225,0.13333333308498063
180.0,2,0.3377871056397756,4.807621113459271,0.86099999944369,0.13466666663686436
190.0,2,0.3262900739908219,4.922415065765382,0.8656666735808053,0.12533333400885263
200.0,2,0.3175835743546485,4.888508081436158,0.8660000006357829,0.11966666653752327
210.0,2,0.31361002773046504,4.933663145701091,0.8609999974568684,0.0940000000099341
220.0,2,0.31082373857498174,5.023727560043336,0.8673333307107292,0.09599999996523063
230.0,2,0.29926751330494883,5.036816088358561,0.8686666727066039,0.11366666636119288
240.0,2,0.2952973052859306,5.14684739112854,0.8686666627724966,0.10033333351214727
250.0,2,0.28512248744567237,5.0994223117828374,0.8660000026226043,0.10099999979138374
260.0,2,0.2742046462992827,5.255572175979616,0.8760000050067902,0.1156666662544012
270.0,2,0.27316423878073687,5.245377779006957,0.876666671037674,0.10899999936421711
280.0,2,0.2651537487904231,5.538202889760335,0.8813333372275036,0.1173333328217268
290.0,2,0.26711997215946515,5.413841231664022,0.8776666680971782,0.117999999721845
300.0,2,0.25705657899379725,5.456350549062093,0.8839999993642172,0.1196666664133469
310.0,2,0.2553080275654792,5.422799523671469,0.8763333360354104,0.09966666574279466
320.0,2,0.2484293644626935,5.781743319829305,0.8810000022252401,0.12799999949832758
330.0,2,0.24428888211647673,5.568010743459067,0.882666665315628,0.12299999905129275
340.0,2,0.2454190815488498,5.593040053049724,0.8783333321412402,0.11766666707893211
350.0,2,0.2367065109312534,5.760993528366089,0.8859999974568685,0.12199999963243802
360.0,2,0.2329852553705374,5.718011538187662,0.8839999993642169,0.11599999902149043
370.0,2,0.23099069024125735,5.8025452931722,0.8856666704018912,0.10866666715592145
380.0,2,0.2281356091300647,5.7704598903656,0.8883333365122478,0.1196666666616996
390.0,2,0.2256622103353342,5.789066807428996,0.8866666634877521,0.11333333322157461
400.0,2,0.22445376962423327,5.8837680339813225,0.8899999976158143,0.12000000017384688
410.0,2,0.22172908435265223,5.861919705073037,0.8876666684945425,0.11333333278695745
420.0,2,0.21844006975491842,5.839538574218749,0.8883333285649617,0.11666666604578495
430.0,2,0.21629929617047308,6.054007355372113,0.88900000055631,0.11533333348731199
440.0,2,0.21803753574689225,5.981113036473594,0.8886666675408681,0.1216666664928198
450.0,2,0.21170995011925692,5.963774077097576,0.8883333325386046,0.12100000008940696
460.0,2,0.20915400559703506,5.9633490880330395,0.8876666625340778,0.12066666694978874
470.0,2,0.21253145883480706,6.110913928349812,0.8883333365122476,0.1129999993989865
480.0,2,0.2060169567664464,6.345274289449053,0.8913333316644032,0.12333333256343999
490.0,2,0.20434349738061428,6.210842323303222,0.8923333346843718,0.1170000000546376
500.0,2,0.203637088338534,6.0063051223754895,0.8896666626135507,0.1196666666616996
510.0,2,0.20218029928704107,6.188878043492636,0.8916666646798451,0.11266666688024998
iterations, approach, loss_train_focus, loss_train_noise, accuracy_test_focus, accuracy_test_noise, accuracy_test_validation
0,0,2.1107951323191325,2.50160813331604,0.2083333333333333,0.29966666897137956,0.7246666729450225
10.0,0,1.797764849662781,2.6021049420038853,0.35166666706403105,0.3446666692694027,0.7246666729450225
20.0,0,1.5475158890088399,2.9086237271626785,0.4413333336512248,0.3513333345452944,0.7246666729450225
